127.0.0.1 - - [30/Nov/2017:14:52:05 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:07 +0530] "GET /FrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/app-content/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/app.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/app-services/user.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/app-services/authentication.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/app-services/flash.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/login/login.controller.js HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:09 +0530] "GET /FrontEnd/register/register.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:10 +0530] "GET /FrontEnd/Blog/blog.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:10 +0530] "GET /FrontEnd/Blog/blog.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:10 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:11 +0530] "GET /FrontEnd/home/home.view.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:52:14 +0530] "GET /FrontEnd/login/login.html HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:56:20 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:56:20 +0530] "GET /FrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:56:20 +0530] "GET /FrontEnd/login/login.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:56:20 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:56:27 +0530] "GET /FrontEnd/login/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:07 +0530] "GET /FrontEnd/ HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/app-content/app.css HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/app.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/login/login.controller.js HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/login/LoginService.js HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/app-services/user.service.js HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/Blog/blog.service.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/Blog/blog.controller.js HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/app-services/flash.service.js HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/register/register.controller.js HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:08 +0530] "GET /FrontEnd/app-services/authentication.service.js HTTP/1.1" 200 5517
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:11 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:11 +0530] "GET /FrontEnd/login/login.html HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:57:23 +0530] "GET /FrontEnd/home/home.view.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:03:51 +0530] "GET /FrontEnd/login/login.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:03:51 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:03:51 +0530] "GET /FrontEnd/app.js HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:03:51 +0530] "GET /FrontEnd/app-services/userService.local.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:04:33 +0530] "GET /FrontEnd/ HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:04:33 +0530] "GET /FrontEnd/login/LoginService.js HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:04:33 +0530] "GET /FrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:04:34 +0530] "GET /FrontEnd/login/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:17 +0530] "GET /FrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:17 +0530] "GET /FrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:17 +0530] "GET /FrontEnd/login/LoginService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:17 +0530] "GET /FrontEnd/login/login.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:17 +0530] "GET /FrontEnd/login/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/ HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/login/login.controller.js HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/app-services/user.service.js HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/app.js HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/app-services/flash.service.js HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/login/LoginService.js HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/app-content/app.css HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/register/register.controller.js HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/Blog/blog.service.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:40 +0530] "GET /FrontEnd/Blog/blog.controller.js HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:43 +0530] "GET /FrontEnd/login/login.html HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [30/Nov/2017:15:07:54 +0530] "GET /FrontEnd/home/home.view.html HTTP/1.1" 200 638
